resolution	pair	n_gene_sample_obs	allele_concordance_pct	genotype_concordance_pct
field1	t1k_vs_immu_old	54367	72.1	47.3
field1	t1k_vs_immu_new	22440	71.6	46.6
field1	immu_old_vs_immu_new	22448	96.6	93.2
field1	t1k_vs_leechuck_t1k	59996	77.6	56.1
field1	leechuck_t1k_vs_immu_old	54367	72.7	47.5
field1	leechuck_t1k_vs_immu_new	22440	72.2	46.8
field2	t1k_vs_immu_old	42726	62.1	32.4
field2	t1k_vs_immu_new	18057	62.6	33.3
field2	immu_old_vs_immu_new	18090	92.3	84.6
field2	t1k_vs_leechuck_t1k	59992	77.5	55.9
field2	leechuck_t1k_vs_immu_old	42726	62.1	32.4
field2	leechuck_t1k_vs_immu_new	18057	62.6	33.3
