resolution	pair	gene	n_samples_both_typed	allele_concordance_pct	genotype_concordance_pct
field1	t1k_vs_immu_old	HLA-A	1458	93.9	87.7
field1	t1k_vs_immu_old	HLA-B	1458	95.8	91.6
field1	t1k_vs_immu_old	HLA-C	1458	95.0	89.9
field1	t1k_vs_immu_old	HLA-DMA	1458	65.7	31.5
field1	t1k_vs_immu_old	HLA-DMB	1458	72.2	44.4
field1	t1k_vs_immu_old	HLA-DOA	1458	82.4	64.8
field1	t1k_vs_immu_old	HLA-DOB	1458	77.2	54.3
field1	t1k_vs_immu_old	HLA-DPA1	1458	78.5	57.1
field1	t1k_vs_immu_old	HLA-DPA2	1458	77.6	60.0
field1	t1k_vs_immu_old	HLA-DPB1	1458	69.8	57.3
field1	t1k_vs_immu_old	HLA-DPB2	1458	77.6	55.3
field1	t1k_vs_immu_old	HLA-DQA1	1317	77.8	55.7
field1	t1k_vs_immu_old	HLA-DQA2	1458	83.8	67.6
field1	t1k_vs_immu_old	HLA-DQB1	1458	91.8	83.7
field1	t1k_vs_immu_old	HLA-DQB2	1458	77.7	55.3
field1	t1k_vs_immu_old	HLA-DRA	1458	75.3	50.6
field1	t1k_vs_immu_old	HLA-DRB1	676	54.2	10.2
field1	t1k_vs_immu_old	HLA-DRB4	7	50.0	0.0
field1	t1k_vs_immu_old	HLA-DRB5	1051	28.4	3.0
field1	t1k_vs_immu_old	HLA-E	1458	79.9	59.9
field1	t1k_vs_immu_old	HLA-F	1458	76.5	53.0
field1	t1k_vs_immu_old	HLA-G	1458	86.6	73.2
field1	t1k_vs_immu_old	HLA-H	1317	52.3	13.9
field1	t1k_vs_immu_old	HLA-J	1458	50.1	0.1
field1	t1k_vs_immu_old	HLA-K	1314	65.2	30.4
field1	t1k_vs_immu_old	HLA-L	1458	80.6	61.2
field1	t1k_vs_immu_old	HLA-N	1458	50.0	0.0
field1	t1k_vs_immu_old	HLA-P	1458	64.3	30.7
field1	t1k_vs_immu_old	HLA-S	1458	80.1	60.2
field1	t1k_vs_immu_old	HLA-T	1317	39.4	0.1
field1	t1k_vs_immu_old	HLA-U	1314	68.3	36.6
field1	t1k_vs_immu_old	HLA-V	1458	50.0	0.0
field1	t1k_vs_immu_old	HLA-W	1115	44.7	0.0
field1	t1k_vs_immu_old	HLA-Y	368	50.0	0.0
field1	t1k_vs_immu_old	MICA	913	67.5	43.6
field1	t1k_vs_immu_old	MICB	1458	85.2	75.9
field1	t1k_vs_immu_old	TAP1	1458	62.7	26.0
field1	t1k_vs_immu_old	TAP2	1458	90.4	80.7
field1	t1k_vs_immu_new	HLA-A	389	91.1	82.3
field1	t1k_vs_immu_new	HLA-B	389	95.0	90.0
field1	t1k_vs_immu_new	HLA-C	389	94.7	89.5
field1	t1k_vs_immu_new	HLA-DMA	389	65.0	30.1
field1	t1k_vs_immu_new	HLA-DMB	389	74.6	49.1
field1	t1k_vs_immu_new	HLA-DOA	389	82.4	64.8
field1	t1k_vs_immu_new	HLA-DOB	389	74.9	49.9
field1	t1k_vs_immu_new	HLA-DPA1	389	71.5	42.9
field1	t1k_vs_immu_new	HLA-DPA2	389	77.4	59.9
field1	t1k_vs_immu_new	HLA-DPB1	389	66.1	52.4
field1	t1k_vs_immu_new	HLA-DPB2	389	79.4	58.9
field1	t1k_vs_immu_new	HLA-DQA1	356	82.2	64.3
field1	t1k_vs_immu_new	HLA-DQA2	389	79.3	58.6
field1	t1k_vs_immu_new	HLA-DQB1	389	91.6	83.3
field1	t1k_vs_immu_new	HLA-DQB2	389	76.5	53.0
field1	t1k_vs_immu_new	HLA-DRA	389	74.6	49.1
field1	t1k_vs_immu_new	HLA-DRB1	183	54.9	9.8
field1	t1k_vs_immu_new	HLA-DRB4	3	50.0	0.0
field1	t1k_vs_immu_new	HLA-DRB5	302	25.7	2.0
field1	t1k_vs_immu_new	HLA-E	389	81.9	63.8
field1	t1k_vs_immu_new	HLA-F	389	74.8	49.6
field1	t1k_vs_immu_new	HLA-G	389	83.5	67.1
field1	t1k_vs_immu_new	HLA-H	352	52.3	15.1
field1	t1k_vs_immu_new	HLA-J	389	50.3	0.5
field1	t1k_vs_immu_new	HLA-K	352	66.6	33.2
field1	t1k_vs_immu_new	HLA-L	389	78.1	56.3
field1	t1k_vs_immu_new	HLA-N	389	50.0	0.0
field1	t1k_vs_immu_new	HLA-P	389	64.4	29.0
field1	t1k_vs_immu_new	HLA-R	54	50.0	0.0
field1	t1k_vs_immu_new	HLA-S	389	78.3	56.6
field1	t1k_vs_immu_new	HLA-T	352	40.8	0.0
field1	t1k_vs_immu_new	HLA-U	352	68.5	36.9
field1	t1k_vs_immu_new	HLA-V	389	50.0	0.0
field1	t1k_vs_immu_new	HLA-W	301	45.5	0.0
field1	t1k_vs_immu_new	HLA-Y	54	50.0	0.0
field1	t1k_vs_immu_new	MICA	248	71.0	48.0
field1	t1k_vs_immu_new	MICB	389	82.3	71.7
field1	t1k_vs_immu_new	TAP1	389	58.6	18.3
field1	t1k_vs_immu_new	TAP2	389	92.2	84.3
field1	immu_old_vs_immu_new	HLA-A	389	99.6	99.2
field1	immu_old_vs_immu_new	HLA-B	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-C	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DMA	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DMB	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DOA	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DOB	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DPA1	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DPA2	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DPB1	389	98.5	96.9
field1	immu_old_vs_immu_new	HLA-DPB2	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DQA1	355	87.2	74.4
field1	immu_old_vs_immu_new	HLA-DQA2	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DQB1	389	98.2	96.4
field1	immu_old_vs_immu_new	HLA-DQB2	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DRA	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DRB1	183	60.4	20.8
field1	immu_old_vs_immu_new	HLA-DRB4	7	100.0	100.0
field1	immu_old_vs_immu_new	HLA-DRB5	363	99.9	99.7
field1	immu_old_vs_immu_new	HLA-E	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-F	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-G	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-H	352	83.7	67.3
field1	immu_old_vs_immu_new	HLA-J	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-K	352	83.5	67.0
field1	immu_old_vs_immu_new	HLA-L	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-N	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-P	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-S	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-T	352	83.7	67.3
field1	immu_old_vs_immu_new	HLA-U	352	83.5	67.0
field1	immu_old_vs_immu_new	HLA-V	389	100.0	100.0
field1	immu_old_vs_immu_new	HLA-W	301	99.8	99.7
field1	immu_old_vs_immu_new	HLA-Y	54	50.0	0.0
field1	immu_old_vs_immu_new	MICA	248	87.3	75.0
field1	immu_old_vs_immu_new	MICB	389	99.7	99.5
field1	immu_old_vs_immu_new	TAP1	389	99.9	99.7
field1	immu_old_vs_immu_new	TAP2	389	99.9	99.7
field2	t1k_vs_immu_old	HLA-A	437	78.0	56.1
field2	t1k_vs_immu_old	HLA-B	329	83.3	67.2
field2	t1k_vs_immu_old	HLA-C	548	84.3	69.9
field2	t1k_vs_immu_old	HLA-DMA	1132	55.6	11.1
field2	t1k_vs_immu_old	HLA-DMB	1296	68.0	36.6
field2	t1k_vs_immu_old	HLA-DOA	1403	81.3	62.7
field2	t1k_vs_immu_old	HLA-DOB	1211	70.9	42.9
field2	t1k_vs_immu_old	HLA-DPA1	1304	75.7	51.5
field2	t1k_vs_immu_old	HLA-DPA2	830	56.2	12.4
field2	t1k_vs_immu_old	HLA-DPB1	1083	70.2	57.8
