dataset	gene	flagged	total_alleles	pct
t1k_untyped	HLA-A	163	2924	5.6
t1k_untyped	HLA-B	94	2924	3.2
t1k_untyped	HLA-C	147	2924	5.0
t1k_untyped	HLA-DPA1	626	2924	21.4
t1k_untyped	HLA-DPB1	258	2924	8.8
t1k_untyped	HLA-DQA1	198	2924	6.8
t1k_untyped	HLA-DQB1	193	2924	6.6
t1k_untyped	HLA-DRA	722	2924	24.7
t1k_untyped	HLA-DRB1	129	2924	4.4
immu_old_new	HLA-A	2218	2916	76.1
immu_old_new	HLA-B	2455	2916	84.2
immu_old_new	HLA-C	2191	2916	75.1
immu_old_new	HLA-DPA1	1479	2916	50.7
immu_old_new	HLA-DPB1	2570	2916	88.1
immu_old_new	HLA-DQA1	1981	2634	75.2
immu_old_new	HLA-DQB1	2390	2916	82.0
immu_old_new	HLA-DRA	1998	2916	68.5
immu_old_new	HLA-DRB1	767	1352	56.7
immu_new_new	HLA-A	507	778	65.2
immu_new_new	HLA-B	632	778	81.2
immu_new_new	HLA-C	533	778	68.5
immu_new_new	HLA-DPA1	392	778	50.4
immu_new_new	HLA-DPB1	656	778	84.3
immu_new_new	HLA-DQA1	545	712	76.5
immu_new_new	HLA-DQB1	623	778	80.1
immu_new_new	HLA-DRA	509	778	65.4
immu_new_new	HLA-DRB1	200	366	54.6
