dataset	gene	n_samples	allele_concordance_pct	genotype_concordance_pct
immu_new	HLA-A	160	99.1	98.1
immu_new	HLA-B	109	99.1	98.2
immu_new	HLA-C	172	99.1	98.3
immu_new	HLA-DQB1	149	99.3	99.3
immu_new	HLA-DRB1	23	100.0	100.0
immu_old	HLA-A	160	99.1	98.1
immu_old	HLA-B	109	99.1	98.2
immu_old	HLA-C	172	99.1	98.3
immu_old	HLA-DQB1	149	99.3	99.3
immu_old	HLA-DRB1	23	100.0	100.0
leechuck_t1k	HLA-A	841	99.2	98.6
leechuck_t1k	HLA-B	891	98.7	97.5
leechuck_t1k	HLA-C	858	98.1	96.4
leechuck_t1k	HLA-DQB1	836	96.8	94.3
leechuck_t1k	HLA-DRB1	882	97.4	95.6
t1k	HLA-A	353	99.9	99.7
t1k	HLA-B	380	99.2	98.4
t1k	HLA-C	372	99.5	98.9
t1k	HLA-DQB1	360	99.2	98.3
t1k	HLA-DRB1	378	99.3	98.7
